year,CO2,ERF_CO2,ERF_anthro,ERF_volc,ERF_natural,ERF_other_human,ERF_wmghg
1910,297.9395,0.377768056,0.596583986,0.195365312,0.178010457,-0.481247022,1.077831008
1911,298.39694,0.385805776,0.608375855,0.195116361,0.159789631,-0.472115021,1.080490875
1912,298.91397,0.394877275,0.621034055,-0.38742462,-0.429615608,-0.47980528,1.100839335
1913,299.45767,0.40440118,0.634585328,-0.295387077,-0.336064808,-0.502216384,1.136801713
1914,299.97137,0.413385704,0.645426247,0.006094919,-0.020885498,-0.475486538,1.120912786
1915,300.48947,0.422432287,0.65676108,0.168086839,0.180856715,-0.461203827,1.117964907
1916,301.0289,0.431836517,0.671978845,0.193406054,0.238157132,-0.493529491,1.165508336
1917,301.54367,0.440796694,0.686563464,0.193534312,0.259408582,-0.515408856,1.201972319
1918,301.98163,0.448409001,0.698731771,0.193258531,0.262908144,-0.516138106,1.214869877
1919,302.36237,0.455018589,0.707103384,0.192976646,0.229989833,-0.454288985,1.161392369
1920,302.77466,0.462167277,0.720622303,0.192690694,0.198721117,-0.493832649,1.214454952
1921,303.13516,0.468410534,0.729261825,0.192400605,0.179257908,-0.420807617,1.150069442
1922,303.47736,0.474331203,0.739988716,0.053422576,0.022776021,-0.427643319,1.167632035
1923,303.8083,0.48005056,0.755428328,0.117710271,0.083085567,-0.479235484,1.234663812
1924,304.13992,0.485776699,0.762982101,0.191505641,0.164603227,-0.464060434,1.227042535
1925,304.33865,0.489205481,0.769072734,0.191199065,0.185435445,-0.465735429,1.234808163
1926,304.49445,0.491891834,0.772623294,0.190888422,0.213439865,-0.479988625,1.25261192
1927,304.6972,0.495386367,0.77916576,0.190573622,0.236822355,-0.508195779,1.287361539
1928,304.85934,0.498179653,0.784765787,0.151860601,0.182571152,-0.513662071,1.298427858
1929,305.01758,0.500903845,0.792529128,-0.036809137,-0.014054886,-0.551251746,1.343780874
1930,305.15662,0.503296638,0.798279605,0.189604587,0.212577247,-0.530341328,1.328620932
1931,305.35645,0.506734334,0.802536478,0.189273354,0.190015178,-0.457510066,1.260046544
1932,305.62253,0.511307642,0.810486606,0.003710881,-0.012099516,-0.418316954,1.22880356
1933,305.93405,0.51665771,0.819784692,0.150507616,0.127770559,-0.43531769,1.255102382
1934,306.3132,0.523162538,0.832884346,0.188254931,0.173224564,-0.483401076,1.316285422
1935,306.78812,0.531300107,0.84584788,0.187907245,0.199491477,-0.510761299,1.356609179
1936,307.5229,0.54386678,0.865144974,0.18755543,0.256799427,-0.551304462,1.416449436
1937,308.24716,0.556227542,0.882038263,0.187199505,0.259735226,-0.578394071,1.460432334
1938,308.80594,0.565746202,0.893788295,0.186839456,0.248938385,-0.532714752,1.426503047
1939,309.35056,0.575008328,0.910433305,0.186475299,0.245672519,-0.574760124,1.48519343
1940,309.8546,0.583567757,0.9234364,0.186107024,0.225881514,-0.61603775,1.53947415
1941,310.301,0.591136843,0.937543152,0.185734648,0.209799348,-0.629941068,1.56748422
1942,310.65424,0.59712005,0.951503192,0.185358123,0.19095173,-0.647539027,1.599042219
1943,310.8651,0.60068926,0.9633645,0.184977504,0.17191281,-0.647683396,1.611047895
1944,310.90622,0.601385059,0.970460267,0.184592765,0.176723066,-0.633275206,1.603735473
1945,310.88882,0.601090999,0.972518238,0.184203942,0.211716372,-0.553988469,1.526506706
1946,310.90097,0.601297222,0.978604704,0.183810953,0.228374823,-0.537598509,1.516203213
1947,310.97742,0.602590788,0.986973338,0.18341388,0.273469058,-0.588709693,1.57568303
1948,311.02942,0.603470669,0.996174417,0.183012698,0.288637262,-0.618972018,1.615146435
1949,311.13992,0.605339583,1.005161407,0.182607381,0.27320858,-0.573412869,1.578574276
1950,311.31866,0.608360762,1.017340717,0.182197972,0.239148708,-0.623400143,1.64074086
1951,311.52695,0.611879025,1.025980071,0.181784427,0.194242291,-0.621535102,1.647515173
1952,311.84418,0.617233542,1.039652014,0.181366773,0.191812162,-0.642759926,1.68241194
1953,312.21957,0.62356321,1.057226525,0.18094502,0.178332719,-0.660777041,1.718003566
1954,312.5801,0.629635605,1.075187305,0.180519124,0.178062828,-0.668675312,1.743862617
1955,312.89963,0.635012225,1.094180202,0.180089122,0.204933852,-0.714584669,1.80876487
1956,313.18756,0.639853089,1.115851728,0.179655026,0.264640015,-0.768827759,1.884679486
1957,313.48584,0.644863566,1.136999522,0.179216783,0.320145473,-0.806013427,1.943012949
1958,313.84317,0.650860564,1.154429041,0.178774449,0.327113417,-0.788348936,1.942777977
1959,314.33322,0.659074001,1.174734884,0.178327997,0.294997776,-0.809661944,1.984396828
1960,315.08557,0.671661529,1.200091324,0.177877443,0.272846806,-0.847791039,2.047882363
1961,315.78238,0.683295496,1.225173398,0.166289319,0.213162077,-0.879302998,2.104476396
1962,316.4977,0.695214316,1.255045959,-0.024382967,-0.010926665,-0.878103181,2.13314914
1963,317.12778,0.70569221,1.289069696,-0.912732776,-0.910852108,-0.935375875,2.224445571
1964,317.7737,0.716414709,1.317958588,-0.665329648,-0.668815582,-0.929916226,2.247874814
1965,318.3507,0.725976182,1.34758193,-0.344913345,-0.345403967,-0.955066884,2.302648814
1966,319.2792,0.741329019,1.382415873,0.108734289,0.13387543,-0.972026355,2.354442228
1967,319.97284,0.752772586,1.416290478,-0.151840982,-0.09498385,-0.992837014,2.409127492
1968,320.83368,0.766942886,1.454499922,-0.035009438,0.038587123,-1.016442729,2.470942651
1969,321.77942,0.78247109,1.494917528,0.051402268,0.127978541,-1.032768796,2.527686324
1970,323.1067,0.804194058,1.545150353,0.047264237,0.125774982,-1.094590077,2.63974043
1971,324.0005,0.818777594,1.587525512,-0.089890468,-0.040053599,-1.093264754,2.680790266
1972,325.85028,0.848843399,1.647618961,0.025605628,0.073664029,-1.152402216,2.800021177
1973,328.1072,0.885317928,1.707876834,0.156062684,0.175353605,-1.160829105,2.868705939
1974,329.06967,0.900804093,1.74854302,0.024223704,0.029396095,-1.141058432,2.889601452
1975,329.3179,0.904792611,1.779838069,-0.223082429,-0.217598026,-1.108904427,2.888742496
