year,CO2,ERF_CO2,ERF_anthro,ERF_volc,ERF_natural,ERF_other_human,ERF_wmghg
1850,282.9542,0.107944437,0.174905296,0.194332728,0.201860807,-0.067993933,0.242899229
1851,283.08615,0.110373647,0.177418389,0.197859192,0.199927066,-0.05855438,0.235972768
1852,283.22922,0.113006081,0.18089147,0.191554105,0.192810749,-0.054267599,0.235159069
1853,283.361,0.115429994,0.185130178,0.01098643,0.002118294,-0.058149768,0.243279946
1854,283.47525,0.117530236,0.189989561,-0.022960512,-0.045681969,-0.07386269,0.263852251
1855,283.57394,0.119343573,0.19335604,0.118022357,0.08676738,-0.066727866,0.260083906
1856,283.6857,0.121396766,0.196855012,0.128167035,0.094525169,-0.068417423,0.265272435
1857,283.83517,0.124141661,0.202333628,-0.057672927,-0.08533977,-0.073640516,0.275974143
1858,283.99948,0.127157521,0.207618593,0.087809164,0.077006555,-0.077349347,0.284967939
1859,284.17548,0.130386358,0.212904397,0.162295882,0.165752208,-0.079297016,0.292201413
1860,284.36646,0.133887726,0.21863353,0.187949291,0.201982815,-0.083797963,0.302431494
1861,284.556,0.137360858,0.224833945,0.107672012,0.119583856,-0.082112369,0.306946314
1862,284.72614,0.140476657,0.230379498,-0.700605334,-0.700955551,-0.082624918,0.313004416
1863,284.89575,0.143581021,0.236064783,-0.295583145,-0.303125232,-0.078408789,0.314473573
1864,285.06622,0.146699364,0.242910017,0.033565922,0.018972371,-0.079616566,0.322526583
1865,285.2365,0.149812362,0.249894289,0.149773953,0.129501788,-0.092738621,0.342632909
1866,285.40417,0.152875886,0.256040465,0.18413369,0.160975417,-0.088427338,0.344467803
1867,285.57352,0.155967917,0.263354807,0.195330366,0.167788328,-0.099187764,0.362542571
1868,285.72223,0.15868188,0.270132172,0.198994665,0.181234194,-0.110056572,0.380188744
1869,285.84653,0.16094901,0.274332423,0.200196288,0.200282887,-0.106485784,0.380818207
1870,285.97577,0.163305596,0.279207298,0.200591377,0.202066429,-0.115214953,0.394422251
1871,286.11676,0.16587565,0.282813822,0.20072025,0.212959706,-0.110875886,0.393689708
1872,286.28546,0.168949033,0.286822824,0.194550896,0.201111739,-0.110597725,0.397420549
1873,286.47766,0.172448487,0.292415366,-0.044495556,-0.047591475,-0.12660617,0.419021536
1874,286.6807,0.176143031,0.297961736,0.106271365,0.094797931,-0.132721746,0.430683483
1875,286.90582,0.180237619,0.303046279,0.120713754,0.093639734,-0.127006521,0.4300528
1876,287.13446,0.184392275,0.308574655,0.132862105,0.098643017,-0.135246264,0.443820919
1877,287.3658,0.188593071,0.31460651,0.176541628,0.137751567,-0.139299669,0.453906179
1878,287.60294,0.192895602,0.320839848,0.19277966,0.148326587,-0.142904481,0.46374433
1879,287.83408,0.197086453,0.327266579,0.195367085,0.152099657,-0.155327429,0.482594008
1880,288.08173,0.201573458,0.333688154,0.147625142,0.118273437,-0.165061101,0.498749255
1881,288.34674,0.206370843,0.340928977,0.146469021,0.136477643,-0.168119214,0.509048191
1882,288.6208,0.211327859,0.347504356,0.197425674,0.18330014,-0.172117219,0.519621575
1883,288.86905,0.21581427,0.353506479,-0.516673852,-0.533763498,-0.171175903,0.524682382
1884,289.12094,0.220362735,0.360897709,-1.962339963,-1.956231537,-0.17843326,0.539330969
1885,289.402,0.225434441,0.368247161,-0.678986833,-0.687355751,-0.183777201,0.552024362
1886,289.70264,0.230853482,0.375763906,-0.118183594,-0.142979929,-0.1817666,0.557530506
1887,290.01807,0.236533859,0.384182161,-0.035164517,-0.070085632,-0.192298356,0.576480517
1888,290.36148,0.242711837,0.393559727,0.137851621,0.098967957,-0.215162521,0.608722248
1889,290.7087,0.248951941,0.401600138,0.192418794,0.152115477,-0.21020348,0.611803619
1890,291.0543,0.255155534,0.410764838,0.010365196,-0.026474791,-0.22708726,0.637852097
1891,291.40805,0.261498547,0.418761669,-0.132772558,-0.144199191,-0.224137851,0.64289952
1892,291.75354,0.26768667,0.427274203,0.065306143,0.074799896,-0.2228272,0.650101404
1893,292.06732,0.273301195,0.435615853,0.198013587,0.223950358,-0.226750174,0.662366027
1894,292.37607,0.278819888,0.444448482,0.198617399,0.244351314,-0.245242893,0.689691375
1895,292.66574,0.28399225,0.451937736,0.198660105,0.225657716,-0.248690089,0.700627825
1896,292.95026,0.289068549,0.45744637,0.198528234,0.199909683,-0.250802503,0.708248873
1897,293.23364,0.294119698,0.465023494,0.198337476,0.183275907,-0.266879557,0.73190305
1898,293.54144,0.29960108,0.472841855,0.198121693,0.175353435,-0.277510298,0.750352154
1899,293.88458,0.305706047,0.482226093,0.197890502,0.165949099,-0.30579339,0.788019483
1900,294.24887,0.312180079,0.490966014,0.197646418,0.160400816,-0.317386119,0.808352132
1901,294.5829,0.318109708,0.498968506,0.197420644,0.151126702,-0.324178487,0.823146993
1902,294.9025,0.323777754,0.507044577,-0.038538001,-0.082679062,-0.331759397,0.838803974
1903,295.22495,0.329490433,0.515784084,-0.746985605,-0.772811579,-0.349799182,0.865583266
1904,295.53183,0.334921487,0.525584189,-0.292198413,-0.284732736,-0.369102746,0.894686935
1905,295.86517,0.340815782,0.535828492,0.074350095,0.067135621,-0.390919284,0.926747776
1906,296.23938,0.347425043,0.546558206,0.179251825,0.196046653,-0.408238444,0.954796649
1907,296.66336,0.354904711,0.56044974,0.017017952,0.020833092,-0.453033636,1.013483376
1908,297.0836,0.362308241,0.571343254,0.129990838,0.141918282,-0.440929392,1.012272645
1909,297.50223,0.3696743,0.583056074,0.195610138,0.19068895,-0.453600688,1.036656762
1910,297.9395,0.377358688,0.596174618,0.195365312,0.178010457,-0.481247022,1.07742164
1911,298.39694,0.385385717,0.607955795,0.195116361,0.159789631,-0.472115021,1.080070816
1912,298.91397,0.394445341,0.62060212,-0.38742462,-0.429615608,-0.47980528,1.1004074
1913,299.45767,0.403956802,0.634140951,-0.295387077,-0.336064808,-0.502216384,1.136357335
1914,299.97137,0.41292941,0.644969953,0.006094919,-0.020885498,-0.475486538,1.120456492
1915,300.48947,0.421963947,0.65629274,0.168086839,0.180856715,-0.461203827,1.117496566
1916,301.0289,0.43135567,0.671497998,0.193406054,0.238157132,-0.493529491,1.165027489
1917,301.54367,0.440303769,0.68607054,0.193534312,0.259408582,-0.515408856,1.201479395
1918,301.98163,0.447905448,0.698228218,0.193258531,0.262908144,-0.516138106,1.214366324
1919,302.36237,0.454505488,0.706590283,0.192976646,0.229989833,-0.454288985,1.160879268
1920,302.77466,0.461643988,0.720099014,0.192690694,0.198721117,-0.493832649,1.213931663
1921,303.13516,0.467878044,0.728729334,0.192400605,0.179257908,-0.420807617,1.149536952
1922,303.47736,0.473789849,0.739447362,0.053422576,0.022776021,-0.427643319,1.167090681
1923,303.8083,0.47950054,0.754878307,0.117710271,0.083085567,-0.479235484,1.234113792
1924,304.13992,0.485217982,0.762423384,0.191505641,0.164603227,-0.464060434,1.226483818
1925,304.33865,0.488640686,0.768507939,0.191199065,0.185435445,-0.465735429,1.234243368
1926,304.49445,0.491321816,0.772053275,0.190888422,0.213439865,-0.479988625,1.252041901
1927,304.6972,0.494810193,0.778589586,0.190573622,0.236822355,-0.508195779,1.286785365
1928,304.85934,0.497598137,0.784184272,0.151860601,0.182571152,-0.513662071,1.297846343
1929,305.01758,0.500317068,0.791942351,-0.036809137,-0.014054886,-0.551251746,1.343194096
1930,305.15662,0.502704993,0.797687959,0.189604587,0.212577247,-0.530341328,1.328029287
1931,305.35645,0.506136596,0.801938741,0.189273354,0.190015178,-0.457510066,1.259448807
1932,305.62253,0.510702475,0.809881439,0.003710881,-0.012099516,-0.418316954,1.228198393
1933,305.93405,0.516044177,0.819171159,0.150507616,0.127770559,-0.43531769,1.254488849
1934,306.3132,0.522539267,0.832261075,0.188254931,0.173224564,-0.483401076,1.315662151
1935,306.78812,0.530665125,0.845212898,0.187907245,0.199491477,-0.510761299,1.355974197
1936,307.5229,0.543214762,0.864492957,0.18755543,0.256799427,-0.551304462,1.415797419
1937,308.24716,0.555558669,0.881369391,0.187199505,0.259735226,-0.578394071,1.459763462
1938,308.80594,0.565063827,0.893105921,0.186839456,0.248938385,-0.532714752,1.425820673
1939,309.35056,0.574312718,0.909737695,0.186475299,0.245672519,-0.574760124,1.484497819
1940,309.8546,0.582859726,0.922728369,0.186107024,0.225881514,-0.61603775,1.538766119
1941,310.301,0.590417551,0.936823859,0.185734648,0.209799348,-0.629941068,1.566764927
1942,310.65424,0.596391397,0.950774539,0.185358123,0.19095173,-0.647539027,1.598313566
1943,310.8651,0.599954176,0.962629416,0.184977504,0.17191281,-0.647683396,1.610312812
1944,310.90622,0.600647051,0.969722259,0.184592765,0.176723066,-0.633275206,1.602997465
1945,310.88882,0.6003513,0.971778539,0.184203942,0.211716372,-0.553988469,1.525767008
1946,310.90097,0.600555249,0.977862731,0.183810953,0.228374823,-0.537598509,1.51546124
