year,CO2,ERF_CO2,ERF_anthro,ERF_volc,ERF_natural,ERF_other_human,ERF_wmghg
1850,282.9542,0.108037305,0.174998164,0.194332728,0.201860807,-0.0679939,0.242992064
1851,283.08615,0.110469592,0.177514334,0.197859192,0.199927066,-0.0585544,0.236068734
1852,283.22922,0.113105314,0.180990704,0.191554105,0.192810749,-0.0542676,0.235258304
1853,283.361,0.115532365,0.185232549,0.01098643,0.002118294,-0.0581498,0.243382349
1854,283.47525,0.117635482,0.190094807,-0.022960512,-0.045681969,-0.0738627,0.263957507
1855,283.57394,0.119451462,0.193463929,0.118022357,0.08676738,-0.0667279,0.260191829
1856,283.6857,0.121507533,0.196965779,0.128167035,0.094525169,-0.0684174,0.265383179
1857,283.83517,0.124255965,0.202447932,-0.057672927,-0.08533977,-0.0736405,0.276088432
1858,283.99948,0.127275647,0.207736719,0.087809164,0.077006555,-0.0773493,0.285086019
1859,284.17548,0.130508541,0.21302658,0.162295882,0.165752208,-0.079297,0.29232358
1860,284.36646,0.134014263,0.218760067,0.187949291,0.201982815,-0.083798,0.302558067
1861,284.556,0.137491763,0.224964851,0.107672012,0.119583856,-0.0821124,0.307077251
1862,284.72614,0.140611632,0.230514473,-0.700605334,-0.700955551,-0.0826249,0.313139373
1863,284.89575,0.143720087,0.23620385,-0.295583145,-0.303125232,-0.0784088,0.31461265
1864,285.06622,0.146842573,0.243053226,0.033565922,0.018972371,-0.0796166,0.322669826
1865,285.2365,0.149959739,0.250041665,0.149773953,0.129501788,-0.0927386,0.342780265
1866,285.40417,0.153027415,0.256191994,0.18413369,0.160975417,-0.0884273,0.344619294
1867,285.57352,0.156123658,0.263510549,0.195330366,0.167788328,-0.0991878,0.362698349
1868,285.72223,0.158841487,0.270291779,0.198994665,0.181234194,-0.1100566,0.380348379
1869,285.84653,0.161112052,0.274495465,0.200196288,0.200282887,-0.1064858,0.380981265
1870,285.97577,0.163472186,0.279373888,0.200591377,0.202066429,-0.115215,0.394588888
1871,286.11676,0.166046025,0.282984197,0.20072025,0.212959706,-0.1108759,0.393860097
1872,286.28546,0.169123731,0.286997523,0.194550896,0.201111739,-0.1105977,0.397595223
1873,286.47766,0.172627984,0.292594863,-0.044495556,-0.047591475,-0.1266062,0.419201063
1874,286.6807,0.176327562,0.298146267,0.106271365,0.094797931,-0.1327217,0.430867967
1875,286.90582,0.180427641,0.303236301,0.120713754,0.093639734,-0.1270065,0.430242801
1876,287.13446,0.184587889,0.308770269,0.132862105,0.098643017,-0.1352463,0.444016569
1877,287.3658,0.188794367,0.314807806,0.176541628,0.137751567,-0.1392997,0.454107506
1878,287.60294,0.193102727,0.321046973,0.19277966,0.148326587,-0.1429045,0.463951473
1879,287.83408,0.197299327,0.327479454,0.195367085,0.152099657,-0.1553274,0.482806854
1880,288.08173,0.201792441,0.333907137,0.147625142,0.118273437,-0.1650611,0.498968237
1881,288.34674,0.206596311,0.341154445,0.146469021,0.136477643,-0.1681192,0.509273645
1882,288.6208,0.211560031,0.347736528,0.197425674,0.18330014,-0.1721172,0.519853728
1883,288.86905,0.216052671,0.35374488,-0.516673852,-0.533763498,-0.1711759,0.52492078
1884,289.12094,0.220607474,0.361142448,-1.962339963,-1.956231537,-0.1784333,0.539575748
1885,289.402,0.225686136,0.368498857,-0.678986833,-0.687355751,-0.1837772,0.552276057
1886,289.70264,0.231112562,0.376022987,-0.118183594,-0.142979929,-0.1817666,0.557789587
1887,290.01807,0.236800668,0.384448969,-0.035164517,-0.070085632,-0.1922984,0.576747369
1888,290.36148,0.242986985,0.393834874,0.137851621,0.098967957,-0.2151625,0.608997374
1889,290.7087,0.249235548,0.401883746,0.192418794,0.152115477,-0.2102035,0.612087246
1890,291.0543,0.255447614,0.411056918,0.010365196,-0.026474791,-0.2270873,0.638144218
1891,291.40805,0.261799308,0.41906243,-0.132772558,-0.144199191,-0.2241379,0.64320033
1892,291.75354,0.267995983,0.427583517,0.065306143,0.074799896,-0.2228272,0.650410717
1893,292.06732,0.273618444,0.435933102,0.198013587,0.223950358,-0.2267502,0.662683302
1894,292.37607,0.279145002,0.444773596,0.198617399,0.244351314,-0.2452429,0.690016496
1895,292.66574,0.284324865,0.452270351,0.198660105,0.225657716,-0.2486901,0.700960451
1896,292.95026,0.289408582,0.457786402,0.198528234,0.199909683,-0.2508025,0.708588902
1897,293.23364,0.294467156,0.465370951,0.198337476,0.183275907,-0.2668796,0.732250551
1898,293.54144,0.299956504,0.47319728,0.198121693,0.175353435,-0.2775103,0.75070758
1899,293.88458,0.306070211,0.482590258,0.197890502,0.165949099,-0.3057934,0.788383658
1900,294.24887,0.312553463,0.491339397,0.197646418,0.160400816,-0.3173861,0.808725497
1901,294.5829,0.318491706,0.499350503,0.197420644,0.151126702,-0.3241785,0.823529003
1902,294.9025,0.324168086,0.507434909,-0.038538001,-0.082679062,-0.3317594,0.839194309
1903,295.22495,0.329889185,0.516182836,-0.746985605,-0.772811579,-0.3497992,0.865982036
1904,295.53183,0.335328351,0.525991053,-0.292198413,-0.284732736,-0.3691027,0.895093753
1905,295.86517,0.341231352,0.536244063,0.074350095,0.067135621,-0.3909193,0.927163363
1906,296.23938,0.347850227,0.546983389,0.179251825,0.196046653,-0.4082384,0.955221789
1907,296.66336,0.355340605,0.560885634,0.017017952,0.020833092,-0.4530336,1.013919234
1908,297.0836,0.3627548,0.571789813,0.129990838,0.141918282,-0.4409294,1.012719213
1909,297.50223,0.370131525,0.5835133,0.195610138,0.19068895,-0.4536007,1.037114
1910,297.9395,0.377827012,0.596642942,0.195365312,0.178010457,-0.481247,1.077889942
1911,298.39694,0.385865607,0.608435686,0.195116361,0.159789631,-0.472115,1.080550686
1912,298.91397,0.394938129,0.621094908,-0.38742462,-0.429615608,-0.4798053,1.100900208
1913,299.45767,0.404463103,0.634647252,-0.295387077,-0.336064808,-0.5022164,1.136863652
1914,299.97137,0.413448606,0.645489149,0.006094919,-0.020885498,-0.4754865,1.120975649
1915,300.48947,0.42249616,0.656824953,0.168086839,0.180856715,-0.4612038,1.118028753
1916,301.0289,0.4319014,0.672043729,0.193406054,0.238157132,-0.4935295,1.165573229
1917,301.54367,0.440862505,0.686629275,0.193534312,0.259408582,-0.5154089,1.202038175
1918,301.98163,0.448475533,0.698798303,0.193258531,0.262908144,-0.5161381,1.214936403
1919,302.36237,0.455085677,0.707170471,0.192976646,0.229989833,-0.454289,1.161459471
1920,302.77466,0.462234995,0.720690021,0.192690694,0.198721117,-0.4938326,1.214522621
1921,303.13516,0.468478734,0.729330025,0.192400605,0.179257908,-0.4208076,1.150137625
1922,303.47736,0.474399838,0.740057351,0.053422576,0.022776021,-0.4276433,1.167700651
1923,303.8083,0.480119585,0.755497353,0.117710271,0.083085567,-0.4792355,1.234732853
1924,304.13992,0.485846115,0.763051517,0.191505641,0.164603227,-0.4640604,1.227111917
1925,304.33865,0.489274948,0.769142201,0.191199065,0.185435445,-0.4657354,1.234877601
1926,304.49445,0.491961252,0.772692711,0.190888422,0.213439865,-0.4799886,1.252681311
1927,304.6972,0.495455843,0.779235237,0.190573622,0.236822355,-0.5081958,1.287431037
1928,304.85934,0.498249091,0.784835225,0.151860601,0.182571152,-0.5136621,1.298497325
1929,305.01758,0.500973229,0.792598512,-0.036809137,-0.014054886,-0.5512517,1.343850212
1930,305.15662,0.503365919,0.798348886,0.189604587,0.212577247,-0.5303413,1.328690186
1931,305.35645,0.506803661,0.802605805,0.189273354,0.190015178,-0.4575101,1.260115905
1932,305.62253,0.511377158,0.810556121,0.003710881,-0.012099516,-0.418317,1.228873121
1933,305.93405,0.516727516,0.819854498,0.150507616,0.127770559,-0.4353177,1.255172198
